;Category1;Value1;Value2
0;B;10.683511951554319;23.503569111955784
1;E;13.752341678431772;17.844247455277642
2;C;11.9008476763721;23.543928984153855
3;B;8.846192688675194;26.652221483497446
4;A;8.203170657303284;24.922893087184185
5;A;10.983838343013012;23.043644186643785
6;A;7.359533585958715;26.400048137534924
7;D;13.662917531708707;27.015773542674037
8;C;12.358880241442574;28.29295394622516
9;C;9.061648695790591;23.892259325537857
10;A;6.573730941818245;18.997291518098873
11;E;12.707744748330825;20.880282118599936
12;D;9.770920309494764;27.23905379905014
13;B;12.475632623946924;15.098385974076583
14;A;6.811144682411266;22.212039853237407
15;A;8.801249954092455;17.639967126035835
16;B;10.010487399436366;20.172468937608905
17;B;10.093961187529484;27.670711175643792
18;B;9.099869057041513;21.14659440811942
19;B;11.245699864694998;20.27861928893689
20;C;7.864759141234812;11.840863154120484
21;A;9.715241029957413;24.477521396163326
22;B;10.240591263423799;23.87290508684645
23;B;11.028877668117499;32.97952833983276
24;B;11.42322975617778;18.153330590281996
25;C;7.750715816324261;21.314901965983633
26;A;6.931771658528755;21.496302102264533
27;B;12.555353643797018;29.464719678580845
28;B;10.664628023959184;19.42822680567829
29;A;8.503026926886893;21.674129154622037
30;C;13.102303951045046;23.647379058299236
31;A;10.231349268585717;21.11965473893815
32;A;12.358594368127653;17.32139831269683
33;E;10.135036962820218;21.164539957389845
34;E;14.121495849763974;26.441790499158632
35;D;13.510681684886409;13.840908203533639
36;B;9.502071703041853;20.797818044881257
37;A;11.94314190190871;15.79927511036496
38;C;11.290751899170296;27.170279773549055
39;B;12.737263115064698;10.860878571297352
40;A;8.070153078839791;16.64646891637047
41;B;11.372102919996879;22.263271250387124
42;A;12.116848973699176;29.393144175406043
43;E;6.482521027153771;19.605498433562072
44;B;7.63348297466845;16.668802839840808
45;C;5.921535644479799;31.28694241664354
46;B;9.461186331110884;11.311916597502536
47;B;11.435084511591924;6.807164260279508
48;B;13.004714104192056;22.640086700319994
49;A;10.148189560839551;16.987674653884334
