;Category1;Value1;Value2
0;A;10.373151609423926;12.036914341790116
1;D;7.32569017400373;19.939921983922293
2;C;10.781005437108318;11.449193691877062
3;C;11.245035294854906;24.97578367030897
4;B;11.142727251809987;20.9286570322552
5;B;12.192066433327302;11.73091423768667
6;B;11.694862585241617;18.58949750886359
7;E;10.9400854627384;15.943952871443752
8;C;9.873917239268126;22.34257766750946
9;C;6.66985791614699;28.442244378818273
10;B;10.88054420177936;9.236633660861031
11;D;10.433548523025431;21.123281934610517
12;E;10.562233241264057;19.479869640339658
13;B;7.443709364569825;24.445919678324504
14;B;7.837857449646183;21.709614784960817
15;B;12.136420464353675;15.945070187642422
16;B;9.935570707364263;18.530698163565546
17;A;11.387866823538378;15.681938442357552
18;A;10.072276433866955;26.862831819398668
19;B;10.075172268007709;20.56356367237371
20;C;11.905059924028471;31.791318272299222
21;B;8.975861473936952;20.073975419833907
22;B;10.208838897366181;16.205251708893694
23;A;9.084159808995864;11.395476068821539
24;A;9.140110291511975;9.666856303581488
25;C;9.392528615472811;10.974876726651733
26;B;10.462644732888801;22.0317169252202
27;A;9.050980468678201;23.47468595753738
28;C;12.54448863951318;10.992467455754088
29;B;8.21338939217674;25.781978470913884
30;C;9.638856983520014;17.551150216620183
31;B;9.12956669147392;21.313012932862765
32;B;12.92963303176939;30.065417388087532
33;D;10.411125457082099;25.79273512372331
34;D;12.093502871472985;18.83245325810627
35;E;7.023136448349682;15.113548342854969
36;B;10.553112135683232;7.584357696568212
37;B;11.807066713301811;16.141066912958195
38;C;10.18096988700761;19.17528260741662
39;A;12.161249625511667;14.540255142951503
40;B;8.973356463462103;19.652333245488848
41;A;12.85384063951275;20.89528295254778
42;B;14.645506292718796;19.093304314746955
43;D;9.284437740335967;16.55407621092732
44;B;9.11794224730762;21.443583756077437
45;C;12.942536705975982;23.075809995957215
46;B;13.196694356487122;13.923766657400359
47;A;8.962134614695339;28.863204366116296
48;A;9.168931222679722;19.847450938199408
49;B;9.447690474334705;20.548858991839882
50;D;7.307349251270568;24.66615518752737
51;C;8.164960489726436;21.829183152261354
52;D;7.992775378906421;26.128976157963017
53;E;8.468799965978686;22.151153962129925
54;C;9.945380029439484;16.77843794282549
55;D;10.48697728988683;22.59539169495993
56;B;13.138140433722869;13.60526535174393
57;B;8.004430564423767;21.084660910636217
58;B;11.997787372212597;20.23780859471027
59;B;9.584239571751507;19.19328031256139
60;A;9.915613644295473;19.668575450502672
61;B;11.374410045737429;9.196757182771645
62;E;7.75393799131938;17.158966651956657
63;B;10.785460468949532;20.99080275989791
64;B;10.350495142589438;21.391035200320133
65;A;11.007097764703236;14.298391275719645
66;B;10.597661298507036;27.99583713009382
67;E;14.96051939528903;15.262966984375833
68;B;8.730752100795328;26.22645227916736
69;D;8.945745830536815;22.98773640384619
70;C;8.760157223662858;16.576624372416276
71;B;8.89643973688264;31.039489352126203
72;B;8.731462798544499;13.307169446613493
73;E;12.410066800105426;25.92601271326236
74;C;12.876311837292263;26.412349974962098
75;C;8.865685721205066;16.43093548437361
76;C;8.338772112898175;28.752907993447522
77;B;10.964729234681668;18.942851485156133
78;A;8.902993848191585;22.1605277341514
79;B;11.29004306257089;21.99107454322371
80;E;10.423951892795314;19.634106235592263
81;C;6.962342640011874;25.278906618578795
82;B;13.132107544340405;25.175463959438222
83;B;13.63236057674364;9.99300595292333
84;B;8.781007108045396;28.226572789599977
85;B;9.234360568722433;10.506887867971946
86;C;10.591008135981408;26.603257296306953
87;C;10.688877254313272;27.165630388665313
88;E;11.341629730564351;13.920378089533008
89;A;14.064041526388328;17.982650817342826
90;B;9.658845992355676;13.83235257338277
91;C;8.407369820295086;19.15264174839085
92;C;7.237119320870503;18.59651406988902
93;A;8.543055744521704;25.092873802550926
94;C;9.948517862927252;28.262220237335754
95;A;13.629702316193413;28.772130851882437
96;A;8.972706205573242;17.078676358599456
97;A;10.46597645704427;19.186680497609668
98;B;9.982161950026848;10.38178469071785
99;B;12.408811481704394;15.623142972819544
100;B;15.10479572356372;26.198945093933972
101;C;8.946004005182793;30.085498416132445
102;B;9.029447826540162;13.064012952630728
103;A;12.118309506398852;16.897729256184842
104;D;11.38865392771525;20.27856697311779
105;B;13.734737815608623;22.109566750721555
106;A;11.191343655396638;15.600844570611509
107;C;9.291580771064888;22.969022370526908
108;B;11.204891955328979;17.606227715938005
109;B;12.24830653434158;20.349960294538903
110;B;11.667792808238007;23.699011964905427
111;B;11.03695266020453;20.474635454813367
112;D;12.163655123423448;17.829922012594373
113;E;12.37034637417487;19.781622966275936
114;C;12.79907972323255;19.90852174744159
115;E;11.321822056530605;18.22635211911718
116;E;9.678643116595648;18.890593985268282
117;B;10.310739306102079;29.98434863329465
118;E;12.445298739422896;23.78642207490627
119;A;8.369829712553063;18.67149381511812
120;E;10.757793576678925;24.598903665075717
121;E;9.22300644166011;18.442509501115737
122;B;10.073135350740962;27.442875228834932
123;B;12.590200675122725;22.644000650086365
124;B;10.400136982000834;19.795405682497965
125;A;10.108768684529954;23.11030934982764
126;E;7.276320397542901;11.054072076857889
127;E;11.518287150199454;13.706553014112398
128;B;11.315325082767497;13.305448296419819
129;A;14.372303623155092;21.290018939662016
130;A;9.395336080212457;30.78388684983344
131;B;10.45663570587274;33.76292811517769
132;B;10.517529443148216;24.247098139853385
133;B;13.192426697040677;23.42761864069577
134;D;9.823302656122994;9.67929089887457
135;B;10.577223741227254;17.195107464434177
136;A;11.239618840133424;15.731165190103196
137;C;10.391093674917137;16.72820709021818
138;A;9.11606690996325;19.43202305086878
139;D;10.4061610764968;17.61667240572573
140;D;12.177667507615023;8.614723311419043
141;B;7.947710288835426;24.903242287926524
142;A;10.283057156889605;14.02921908908082
143;B;8.605109353458571;21.865202272181026
144;B;12.42221216668871;32.823931930051536
145;B;6.947351936195979;14.945166780681559
146;C;8.889501626264943;5.323897306105163
147;A;10.774991310386575;18.72809069184697
148;B;13.168399703593783;27.01186295422606
149;B;9.882810505213227;32.13269245511647
150;D;8.896998842617789;13.092677089072538
151;B;13.804123881750417;23.402860734461605
152;B;7.098759711471614;17.657167316468993
153;A;5.58657118208057;19.80349131898453
154;D;10.901483503170935;36.229867533378226
155;B;9.004040087828614;11.459646004260145
156;C;7.95834986479397;21.951761869515643
157;C;11.441957642230216;23.22961936019964
158;B;10.506284647691508;26.921238930843113
159;C;8.879115223345384;21.02149145586893
160;A;7.436547495337499;22.276138703540195
161;C;11.772477215301917;18.097119888292777
162;C;11.324825700710624;22.043663847032054
163;A;9.815487186348928;18.38652965552656
164;B;13.734596162873826;24.148674496616945
165;E;7.859955966508396;18.228745300805773
166;B;6.942642377526822;22.68854546219317
167;B;8.621650842901342;20.26150293273784
168;B;9.923423800617279;27.1617190200208
169;C;10.505355603754131;20.12932398900353
170;C;9.529360296498217;9.846674439214654
171;B;10.724323035477187;27.973222856938236
172;A;7.4944837296092075;15.026706372830915
173;B;12.923161085853474;16.531596812836735
174;C;9.849777018993937;16.878634664197282
175;B;12.265612395937184;28.64523880243579
176;C;10.705531154717905;7.680762458230676
177;A;10.935197464874008;39.17677648054081
178;D;11.162821832247825;26.743676597301565
179;B;10.916980397064881;21.769593283251215
180;B;11.309763237060492;20.108418254791548
181;B;12.692318121931672;22.14177644967498
182;D;10.411057768789009;23.54873062740587
183;E;11.44326140561734;24.28988869835139
184;B;9.834500861178848;23.75467784470665
185;C;12.915814791771716;20.97130689919849
186;E;8.652901528002777;19.257655542471976
187;A;13.642557604344676;19.532783909648273
188;A;9.934356599702408;19.272169782226783
189;B;7.133480794135734;27.2078265278939
190;B;10.273257920005662;23.981351269746764
191;E;8.643517007008418;2.8745297909905325
192;D;11.708400309155213;24.353707005442377
193;C;8.700773884587832;21.599358107126672
194;B;9.116570806272568;20.324538033601545
195;B;6.209469790210779;18.1158147909468
196;C;9.104238552686072;27.150146934919768
197;E;5.133245436840664;26.095468878567157
198;E;6.825062528557923;15.820193181184976
199;C;11.546809346008226;22.867435965395902
200;C;11.597938903634748;14.632966483783353
201;B;10.872164120685252;12.196378418964342
202;B;8.067629550680394;16.693150194095658
203;D;9.91914310209414;25.58700407934051
204;C;10.007983742640345;26.128906944333405
205;B;7.682149228103271;23.500728838499022
206;B;13.043270765854395;24.76698072149955
207;C;11.782356419082914;23.519201278054748
208;B;9.570190390851195;16.604968599950684
209;B;10.069391126001774;23.015975920942857
210;A;10.4349485826932;25.216799117178393
211;C;5.90293187863562;24.941353851559057
212;C;9.517393730080187;27.537174928997164
213;B;8.641638653768368;24.66668928045807
214;C;7.9978524965627305;22.535335363177637
215;B;9.449068771772252;26.827850930848225
216;B;13.636003833056147;20.277877124811724
217;C;11.305976887595744;15.16919843223895
218;C;8.864814217607108;19.462345043361143
219;E;11.16849260149605;15.987276640901431
220;C;12.833715502194018;16.40371200651115
221;A;11.877566879382583;19.573126471584086
222;B;10.135342681638113;15.703475233558734
223;A;8.712228615558915;18.59694860327137
224;B;11.421548251374544;9.12648590051385
225;B;10.807768183146196;21.71019459923921
226;D;11.818270127496561;20.44347765863976
227;A;11.294554668642933;15.556139039325272
228;E;12.129169338874444;24.37368468735987
229;C;8.937209454985423;26.03600379280544
230;E;12.668635112781054;10.834975150194175
231;A;10.413229870917025;15.880832268495215
232;A;14.195073069693546;15.842502719956947
233;A;8.627129768154266;14.822618050082426
234;B;13.511686595031469;25.390394458626044
235;C;10.413856623641792;19.27863297473097
236;B;8.703202869533747;18.856438041213337
237;B;9.040633484335082;8.468021144116136
238;C;9.370020404289217;24.231371873934886
239;B;10.86956264674784;13.034690364282005
240;D;11.068295368845352;20.794231122351402
241;D;8.859736581719373;22.09293772940298
242;D;9.9661865279438;28.562939456837405
243;A;14.330038504173066;12.619224742309704
244;B;13.494726393301594;2.4019571088635416
245;D;10.894049812699702;21.534336564882654
246;A;10.091783433290342;31.190000451005638
247;D;10.256997716850037;27.836001623007
248;D;11.250941165426745;21.688488447396768
249;E;7.955208338299098;17.499934421487986
250;B;9.496851364286654;25.25689356842357
251;A;6.654503963854216;14.621681475142445
252;E;10.819324699070812;23.28136948536062
253;B;11.318772777293098;23.45524597536934
254;B;9.042042105985875;26.768481368839172
255;A;13.185444701953264;36.91860733648381
256;D;7.546395288483415;22.78001916604043
257;C;7.065806664394186;17.396444653702627
258;A;10.467313567546167;20.283532855295512
259;B;12.124225846583176;9.870305386267445
260;C;13.406879397635326;16.28703823853244
261;D;9.090989756555713;17.991799934793907
262;B;12.187836989561063;17.306110527093473
263;A;9.93767885976662;21.346231665828146
264;E;9.667546863442173;15.524297340114185
265;C;11.795040662798973;27.13173908512451
266;C;11.329099069167281;20.437514558230415
267;C;6.840189944515194;20.380730799580505
268;A;12.989175511830164;18.4778957673177
269;B;12.794915245515607;21.363168819037213
270;E;8.755278661950474;25.36425493872088
271;E;10.81243722141018;15.257260962025068
272;E;11.010277910434276;16.50561512970853
273;D;10.540269071952647;18.62224553108028
274;A;8.906856717934684;12.39793699610857
275;A;8.662506754131556;15.54318311689088
276;E;9.963770628677862;17.592003824776405
277;C;12.37726172660254;25.65864957712227
278;C;11.110117988474299;22.004450109546486
279;E;9.268776369662476;21.59251182185207
280;E;11.56953683445865;25.518346061911384
281;B;4.277920774391703;19.615811899325518
282;A;12.328996623571646;22.768365934505212
283;B;6.511239896312832;19.819776202473697
284;A;9.28523859450209;22.021179467677758
285;B;7.760085354367459;16.955696875484282
286;A;7.407590274997256;5.870212672772823
287;A;12.353289152071891;19.634282900653247
288;B;9.073231346530449;28.93377508377136
289;C;10.71314159461469;25.96818656630589
290;B;9.920735825800021;26.202205243389614
291;B;10.976059229403527;27.81918500088179
292;E;10.16996854222894;20.965793655480116
293;A;7.431133880631206;21.614764489592634
294;B;12.021844920814296;16.747293726269323
295;A;9.020752568637118;18.548502942477214
296;C;6.880090267321016;24.11402903013393
